bwinTeam	stdTeam
FC Schalke 04	Schalke 04
1. FSV Mainz 05	Mainz
FSV Mainz 05	Mainz
FC Bayern München	Bayern Munich
1. FC Köln	FC Koln
Hertha BSC	Hertha
SC Paderborn 07	Paderborn
SC Freiburg	Freiburg
Bayer Leverkusen	Leverkusen
1. FC Union Berlin	Union Berlin
Werder Bremen	Werder Bremen
RB Leipzig	RB Leipzig
Borussia Mönchengladbach	M'gladbach
Fortuna Düsseldorf	Fortuna Dusseldorf
Eintracht Frankfurt	Ein Frankfurt
Borussia Dortmund	Dortmund
VfL Wolfsburg	Wolfsburg
1899 Hoffenheim	Hoffenheim
FC Augsburg	Augsburg
Arminia Bielefeld	Bielefeld
VfB Stuttgart	Stuttgart
