"","xgTeam","stdTeam"
"1","Bayern Munich","Bayern Munich"
"2","Hoffenheim","Hoffenheim"
"3","Hannover 96","Hannover"
"4","Hertha Berlin","Hertha"
"5","Eintracht Frankfurt","Ein Frankfurt"
"6","FC Cologne","FC Koln"
"7","Borussia Dortmund","Dortmund"
"8","Paderborn","Paderborn"
"9","Borussia M.Gladbach","M'gladbach"
"10","Augsburg","Augsburg"
"11","Werder Bremen","Werder Bremen"
"12","VfB Stuttgart","Stuttgart"
"13","Hamburger SV","Hamburg"
"14","Bayer Leverkusen","Leverkusen"
"15","Wolfsburg","Wolfsburg"
"16","Schalke 04","Schalke 04"
"17","Mainz 05","Mainz"
"18","Freiburg","Freiburg"
"312","Darmstadt","Darmstadt"
"323","Ingolstadt","Ingolstadt"
"628","RasenBallsport Leipzig","RB Leipzig"
"1227","Fortuna Duesseldorf","Fortuna Dusseldorf"
"1235","Nuernberg","Nurnberg"
"333",Union Berlin,Union Berlin
"500","Arminia Bielefeld",Bielefeld

